answer-368#     4151#8,1 triệu người|4149#6,1 triệu người|4152#9,1 triệu người|4150#7,1 triệu người
answer-171#     3362#Nhà số 4D phố Hàm Long|3361#Nhà số 3D phố Hàm Long|3363#Nhà số 5D phố Hàm Long|3364#Nhà số 6D phố Hàm Long
answer-179#     3396#Cả 3 phương án|3393#Là một sự kiện lịch sử có ý nghĩa to lớn đối với phong trào cách mạng của nhân dân Hà Nội.|3395#Biểu hiện sự lớn mạnh của phong trào cách mạng của nhân dân Thủ đô và đánh dấu một thời kỳ đấu tranh mới của Hà Nội|3394#Sự kiện này gắn bó chặt chẽ và là kết quả trực tiếp của phong trào yêu nước, phong trào công nhân ở Hà Nội
answer-253#     692#Ủy ban Quân chính thành phố Hà Nội|3691#Ủy ban Thành phố|3689#Ủy ban Nhân dân
answer-282#     3769#Phát triển kinh tế, đặc biệt là dịch vụ|3770#Lấy sản xuất công nghiệp (gồm cả tiểu thủ công nghiệp) làm trọng tâm|3772#Chăm lo cải thiện đời sống vật chất và tinh thần của nhân dân|3771#Ra sức phát triển giáo dục
answer-405#     4300#Tranh thủ nguồn vốn ODA để phát triển cơ sở hạ tầng|4298#Tập trung mọi nguồn lực, đặc biệt là nguồn lực xã hội hóa|4299#Chú trọng công tác xây dựng và phát triển các đoàn viên trong các đoàn thể|4297#Tiếp tục đổi mới mạnh mẽ, toàn diện, đồng bộ, năng động sáng tạo
answer-270#     3759#Đoàn kết toàn dân, nâng cao nhiệt tình cách mạng, chí khí phấn đấu dung cảm, tinh thần lao động sáng tạo của nhân dân Thủ đô|3757#Tập trung phát triển kinh tế, nâng cao hiệu quả sản xuất, gia tăng xuất nhập khẩu|3760#Phát triển toàn diện kinh tế, xã hội nhưng phải gìn giữ và phát triển và lưu truyền văn hóa người Hà Nội|3758#Nâng cao sức mạnh của nhanh dân Thủ đô, tuyên truyền, dân vận để cho dân hiểu, góp phần xây dựng xã hội chủ nghĩa ở miền Bắc
answer-286#     3823#Nhiệm vụ khôi phục và phát triển kinh tế thị trường định hướng xã hội chủ nghĩa|3821#Trước mặt phải ra sức thực hiện chiến lược Đại đoàn kết dân tộc|3824#Tăng cường sức chiến đấu để bảo vệ vững chắc Thủ đô, đánh bại mọi âm mưu, thủ đoạn chiến tranh phá hoại của đế quốc Mỹ.|3822#Nhiệm vụ chống Mỹ, cứu nước
answer-334#     4016#Công tác giáo dục, y tế, thể dục thể thao, văn hóa văn nghệ|4013#Công tác giáo dục, Công tác nâng cao phong trào thể dục thể thao|4014#Công tác văn hóa, báo chí, văn nghệ|4015#Công tác khoa học, giáo dục, sức khỏe và gia đình
answer-209#     3513#Mít tinh kêu gọi quần chúng, tuần hành vũ trang|3514#Lập tức tấn công tổng lực, không để quân địch kịp trở tay|3516#Vận động người dân tham dự buổi mít tinh với quân địch
answer-369#     4154#11 quận, 18 huyện, 1 thị xã|4155#12 quận, 17 huyện, 1 thị xã|4156#13 quận, 15 huyện, 2 thị xã|4153#10 quận, 19 huyện, 1 thị xã
